"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","14-Sep-2015","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","6","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-May-2015","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","7","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-May-2015","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-May-2015","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","6.5","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Mar-2015","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","8","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Mar-2015","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","5.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","26-Jan-2015","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","8.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","26-Jan-2015","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Nov-2014","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Nov-2014","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-Nov-2013","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-Nov-2013","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Sep-2013","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Sep-2013","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Jun-2013","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","24-Jun-2013","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","11-Feb-2013","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","11-Feb-2013","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Dec-2012","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Dec-2012","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","08-Oct-2012","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","08-Oct-2012","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","13-Aug-2012","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","13-Aug-2012","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","10-Oct-2011","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","12","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
