"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3970","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","16580","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","3084","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","22836","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","16608","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","6228","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","23252","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3731","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","16714","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jan-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2806","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","23883","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","17686","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","6197","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","23918","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3783","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","17837","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Dec-2021","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2298","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","22329","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","15966","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","6363","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","22167","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3750","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Nov-2021","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","16142","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
