s1,s2,s3,s4,date,value
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-02-17,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-02-17,579412.9101
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-02-17,-2108927.443
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-02-10,8132613.153
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-02-10,90014.59156
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-02-10,17045829.88
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-02-10,1258252.163
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-02-10,1422190.395
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-02-10,-2471445.672
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-02-10,-541302.5839
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-02-10,20434196.13
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-02-10,1121538.533
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-02-10,-19877.18631
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-02-10,9443609.202
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-02-10,1475923.43
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-02-10,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-02-10,576894.1555
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-02-10,-2046391.986
