series_name,date,trade_type,value,series_name2
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-07-31,exports,4671.176,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-07-31,exports,1213.445,Other
Base Metals and articles or Base Metal,2022-07-31,exports,59498.507,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-07-31,exports,11042.785,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-07-31,exports,4089.73,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-07-31,exports,36407.189,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-07-31,exports,8623.824,Other
Miscellaneous Manufactured articles,2022-07-31,exports,45146.598,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-07-31,exports,109.224,Other
Live Animals and Animals Products,2022-06-30,exports,83914.241,Live Animals and Animals Products
Vegetable Products,2022-06-30,exports,461678.245,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-06-30,exports,9255.682,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-06-30,exports,141290.511,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-06-30,exports,71526.55,Mineral Products
Products of Chemical or Allied Industries,2022-06-30,exports,51609.835,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-06-30,exports,63112.343,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-06-30,exports,87309.006,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-06-30,exports,3725.001,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-06-30,exports,12270.144,Other
Textiles and Textile articles,2022-06-30,exports,1817367.327,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-06-30,exports,16877.949,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-06-30,exports,7857.606,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-06-30,exports,3339.464,Other
Base Metals and articles or Base Metal,2022-06-30,exports,102600.501,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-06-30,exports,13505.309,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-06-30,exports,8454.62,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-06-30,exports,44036.107,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-06-30,exports,455.97,Other
Miscellaneous Manufactured articles,2022-06-30,exports,53732.081,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-06-30,exports,975.286,Other
Live Animals and Animals Products,2022-05-31,exports,77237.68,Live Animals and Animals Products
Vegetable Products,2022-05-31,exports,342098.135,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-05-31,exports,7024.94,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-05-31,exports,94263.629,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-05-31,exports,106384.311,Mineral Products
Products of Chemical or Allied Industries,2022-05-31,exports,41851.533,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-05-31,exports,41664.395,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-05-31,exports,71821.36,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-05-31,exports,2272.42,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-05-31,exports,7359.108,Other
Textiles and Textile articles,2022-05-31,exports,1548010.975,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-05-31,exports,11917.555,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-05-31,exports,4757.502,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-05-31,exports,1938.114,Other
Base Metals and articles or Base Metal,2022-05-31,exports,79836.32,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-05-31,exports,11744.53,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-05-31,exports,9645.356,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-05-31,exports,37680.894,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-05-31,exports,134.643,Other
Miscellaneous Manufactured articles,2022-05-31,exports,46030.87,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-05-31,exports,230.678,Other
Live Animals and Animals Products,2022-04-30,exports,85379.952,Live Animals and Animals Products
Vegetable Products,2022-04-30,exports,426312.032,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-04-30,exports,8692.93,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-04-30,exports,134619.218,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-04-30,exports,100532.222,Mineral Products
Products of Chemical or Allied Industries,2022-04-30,exports,44316.806,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-04-30,exports,40203.769,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-04-30,exports,86631.843,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-04-30,exports,2309.172,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-04-30,exports,11214.525,Other
Textiles and Textile articles,2022-04-30,exports,1596826.605,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-04-30,exports,12483.952,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-04-30,exports,6459.586,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-04-30,exports,3347.386,Other
Base Metals and articles or Base Metal,2022-04-30,exports,122716.524,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-04-30,exports,16233.921,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-04-30,exports,24580.909,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-04-30,exports,49967.037,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-04-30,exports,1191.821,Other
Miscellaneous Manufactured articles,2022-04-30,exports,58380.581,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-04-30,exports,4197.886,Other
Live Animals and Animals Products,2022-03-31,exports,75111.961,Live Animals and Animals Products
Vegetable Products,2022-03-31,exports,424468.349,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-03-31,exports,9729.023,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-03-31,exports,142253.801,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-03-31,exports,135162.635,Mineral Products
