Month,Price,Change,type,0
Feb 1997,41.81,0.72%,Metals Price Index,
Mar 1997,42.75,2.26%,Metals Price Index,
Apr 1997,41.43,-3.09%,Metals Price Index,
May 1997,43.02,3.83%,Metals Price Index,
Jun 1997,42.72,-0.69%,Metals Price Index,
Jul 1997,42.42,-0.70%,Metals Price Index,
Aug 1997,43.06,1.52%,Metals Price Index,
Sep 1997,41.01,-4.76%,Metals Price Index,
Oct 1997,39.95,-2.59%,Metals Price Index,
Nov 1997,38.84,-2.77%,Metals Price Index,
Dec 1997,36.96,-4.85%,Metals Price Index,
Jan 1998,35.94,-2.76%,Metals Price Index,
Feb 1998,35.42,-1.44%,Metals Price Index,
Mar 1998,35.58,0.43%,Metals Price Index,
Apr 1998,35.73,0.44%,Metals Price Index,
May 1998,34.51,-3.41%,Metals Price Index,
Jun 1998,33.14,-3.98%,Metals Price Index,
Jul 1998,33.1,-0.12%,Metals Price Index,
Aug 1998,32.85,-0.75%,Metals Price Index,
Sep 1998,33.29,1.33%,Metals Price Index,
Oct 1998,32.28,-3.03%,Metals Price Index,
Nov 1998,32.26,-0.07%,Metals Price Index,
Dec 1998,31.06,-3.72%,Metals Price Index,
Jan 1999,30.1,-3.09%,Metals Price Index,
Feb 1999,29.93,-0.55%,Metals Price Index,
Mar 1999,29.87,-0.20%,Metals Price Index,
Apr 1999,31.53,5.55%,Metals Price Index,
May 1999,32.51,3.11%,Metals Price Index,
Jun 1999,31.73,-2.40%,Metals Price Index,
Jul 1999,34.25,7.92%,Metals Price Index,
Aug 1999,35.02,2.25%,Metals Price Index,
Sep 1999,36.64,4.64%,Metals Price Index,
Oct 1999,36.31,-0.91%,Metals Price Index,
Nov 1999,36.56,0.70%,Metals Price Index,
Dec 1999,37.86,3.55%,Metals Price Index,
Jan 2000,40.05,5.79%,Metals Price Index,
Feb 2000,40.0,-0.13%,Metals Price Index,
Mar 2000,38.79,-3.03%,Metals Price Index,
Apr 2000,36.8,-5.13%,Metals Price Index,
May 2000,37.67,2.36%,Metals Price Index,
Jun 2000,37.29,-1.02%,Metals Price Index,
Jul 2000,38.18,2.40%,Metals Price Index,
Aug 2000,38.05,-0.35%,Metals Price Index,
Sep 2000,39.85,4.74%,Metals Price Index,
Oct 2000,37.68,-5.45%,Metals Price Index,
Nov 2000,36.62,-2.82%,Metals Price Index,
Dec 2000,38.01,3.80%,Metals Price Index,
Jan 2001,38.3,0.77%,Metals Price Index,
Feb 2001,37.87,-1.13%,Metals Price Index,
Mar 2001,36.38,-3.94%,Metals Price Index,
Apr 2001,35.82,-1.52%,Metals Price Index,
May 2001,36.63,2.25%,Metals Price Index,
Jun 2001,35.1,-4.19%,Metals Price Index,
Jul 2001,33.69,-4.02%,Metals Price Index,
Aug 2001,32.67,-3.03%,Metals Price Index,
Sep 2001,31.8,-2.66%,Metals Price Index,
Oct 2001,30.65,-3.61%,Metals Price Index,
Nov 2001,31.62,3.16%,Metals Price Index,
Dec 2001,32.08,1.47%,Metals Price Index,
Jan 2002,32.82,2.29%,Metals Price Index,
Feb 2002,33.04,0.66%,Metals Price Index,
Mar 2002,33.98,2.87%,Metals Price Index,
Apr 2002,33.63,-1.05%,Metals Price Index,
May 2002,33.17,-1.34%,Metals Price Index,
Jun 2002,33.7,1.59%,Metals Price Index,
Jul 2002,33.28,-1.25%,Metals Price Index,
Aug 2002,31.83,-4.35%,Metals Price Index,
Sep 2002,31.95,0.36%,Metals Price Index,
Oct 2002,32.17,0.70%,Metals Price Index,
Nov 2002,33.66,4.62%,Metals Price Index,
Dec 2002,33.78,0.36%,Metals Price Index,
Jan 2003,34.72,2.80%,Metals Price Index,
Feb 2003,35.71,2.85%,Metals Price Index,
Mar 2003,35.09,-1.74%,Metals Price Index,
Apr 2003,33.76,-3.79%,Metals Price Index,
May 2003,35.12,4.03%,Metals Price Index,
Jun 2003,35.69,1.60%,Metals Price Index,
Jul 2003,36.21,1.48%,Metals Price Index,
Aug 2003,36.9,1.89%,Metals Price Index,
Sep 2003,36.8,-0.25%,Metals Price Index,
Oct 2003,38.83,5.51%,Metals Price Index,
Nov 2003,40.4,4.03%,Metals Price Index,
Dec 2003,42.73,5.77%,Metals Price Index,
Jan 2004,45.87,7.35%,Metals Price Index,
Feb 2004,48.75,6.28%,Metals Price Index,
Mar 2004,49.26,1.04%,Metals Price Index,
Apr 2004,49.42,0.34%,Metals Price Index,
May 2004,46.47,-5.98%,Metals Price Index,
Jun 2004,47.8,2.87%,Metals Price Index,
Jul 2004,49.34,3.22%,Metals Price Index,
Aug 2004,48.79,-1.13%,Metals Price Index,
Sep 2004,49.28,1.01%,Metals Price Index,
Oct 2004,51.65,4.80%,Metals Price Index,
Nov 2004,52.1,0.87%,Metals Price Index,
Dec 2004,52.66,1.07%,Metals Price Index,
Jan 2005,56.4,7.11%,Metals Price Index,
Feb 2005,57.94,2.73%,Metals Price Index,
Mar 2005,60.22,3.94%,Metals Price Index,
Apr 2005,59.05,-1.94%,Metals Price Index,
May 2005,56.65,-4.07%,Metals Price Index,
Jun 2005,57.62,1.72%,Metals Price Index,
Jul 2005,57.77,0.26%,Metals Price Index,
Aug 2005,60.14,4.10%,Metals Price Index,
Sep 2005,60.04,-0.16%,Metals Price Index,
Oct 2005,61.68,2.73%,Metals Price Index,
Nov 2005,64.36,4.34%,Metals Price Index,
Dec 2005,69.37,7.79%,Metals Price Index,
Jan 2006,73.13,5.42%,Metals Price Index,
Feb 2006,75.58,3.36%,Metals Price Index,
Mar 2006,76.35,1.02%,Metals Price Index,
Apr 2006,87.8,14.99%,Metals Price Index,
May 2006,101.27,15.34%,Metals Price Index,
Jun 2006,91.46,-9.69%,Metals Price Index,
Jul 2006,97.17,6.25%,Metals Price Index,
Aug 2006,98.01,0.86%,Metals Price Index,
Sep 2006,97.79,-0.22%,Metals Price Index,
Oct 2006,101.7,3.99%,Metals Price Index,
Nov 2006,101.07,-0.62%,Metals Price Index,
Dec 2006,101.77,0.69%,Metals Price Index,
Jan 2007,96.83,-4.85%,Metals Price Index,
Feb 2007,98.69,1.93%,Metals Price Index,
Mar 2007,104.59,5.97%,Metals Price Index,
Apr 2007,114.38,9.36%,Metals Price Index,
May 2007,116.38,1.75%,Metals Price Index,
Jun 2007,110.02,-5.46%,Metals Price Index,
Jul 2007,111.06,0.94%,Metals Price Index,
Aug 2007,105.49,-5.02%,Metals Price Index,
Sep 2007,108.18,2.55%,Metals Price Index,
Oct 2007,114.42,5.76%,Metals Price Index,
Nov 2007,112.14,-1.99%,Metals Price Index,
Dec 2007,105.31,-6.09%,Metals Price Index,
Jan 2008,109.55,4.03%,Metals Price Index,
Feb 2008,117.66,7.41%,Metals Price Index,
Mar 2008,126.26,7.30%,Metals Price Index,
Apr 2008,125.45,-0.64%,Metals Price Index,
May 2008,121.31,-3.30%,Metals Price Index,
Jun 2008,117.98,-2.75%,Metals Price Index,
Jul 2008,118.91,0.79%,Metals Price Index,
Aug 2008,109.9,-7.57%,Metals Price Index,
Sep 2008,98.02,-10.81%,Metals Price Index,
Oct 2008,72.29,-26.25%,Metals Price Index,
Nov 2008,58.71,-18.79%,Metals Price Index,
Dec 2008,50.63,-13.76%,Metals Price Index,
Jan 2009,51.69,2.08%,Metals Price Index,
Feb 2009,51.01,-1.31%,Metals Price Index,
Mar 2009,51.82,1.59%,Metals Price Index,
Apr 2009,56.74,9.49%,Metals Price Index,
May 2009,59.43,4.74%,Metals Price Index,
Jun 2009,65.57,10.33%,Metals Price Index,
Jul 2009,69.67,6.25%,Metals Price Index,
Aug 2009,81.63,17.17%,Metals Price Index,
Sep 2009,77.94,-4.52%,Metals Price Index,
Oct 2009,80.53,3.32%,Metals Price Index,
Nov 2009,84.7,5.18%,Metals Price Index,
Dec 2009,90.29,6.61%,Metals Price Index,
Jan 2010,96.58,6.96%,Metals Price Index,
Feb 2010,91.11,-5.66%,Metals Price Index,
Mar 2010,99.42,9.12%,Metals Price Index,
Apr 2010,108.15,8.78%,Metals Price Index,
May 2010,96.02,-11.22%,Metals Price Index,
Jun 2010,89.09,-7.21%,Metals Price Index,
Jul 2010,89.2,0.12%,Metals Price Index,
Aug 2010,97.59,9.40%,Metals Price Index,
Sep 2010,100.64,3.13%,Metals Price Index,
Oct 2010,108.27,7.59%,Metals Price Index,
Nov 2010,109.43,1.07%,Metals Price Index,
Dec 2010,114.52,4.66%,Metals Price Index,
Jan 2011,120.81,5.49%,Metals Price Index,
Feb 2011,125.82,4.15%,Metals Price Index,
Mar 2011,121.37,-3.54%,Metals Price Index,
Apr 2011,124.29,2.40%,Metals Price Index,
May 2011,118.49,-4.66%,Metals Price Index,
Jun 2011,116.98,-1.28%,Metals Price Index,
Jul 2011,120.99,3.43%,Metals Price Index,
Aug 2011,114.77,-5.14%,Metals Price Index,
Sep 2011,109.08,-4.96%,Metals Price Index,
Oct 2011,98.39,-9.80%,Metals Price Index,
Nov 2011,95.84,-2.59%,Metals Price Index,
Dec 2011,95.08,-0.80%,Metals Price Index,
Jan 2012,100.5,5.71%,Metals Price Index,
Feb 2012,104.01,3.49%,Metals Price Index,
Mar 2012,103.54,-0.44%,Metals Price Index,
Apr 2012,100.95,-2.50%,Metals Price Index,
May 2012,96.63,-4.28%,Metals Price Index,
Jun 2012,91.63,-5.17%,Metals Price Index,
Jul 2012,91.19,-0.49%,Metals Price Index,
Aug 2012,87.65,-3.88%,Metals Price Index,
Sep 2012,93.59,6.77%,Metals Price Index,
Oct 2012,94.0,0.44%,Metals Price Index,
Nov 2012,92.42,-1.69%,Metals Price Index,
Dec 2012,97.42,5.42%,Metals Price Index,
Jan 2013,100.29,2.94%,Metals Price Index,
Feb 2013,101.34,1.05%,Metals Price Index,
Mar 2013,94.55,-6.70%,Metals Price Index,
Apr 2013,90.73,-4.03%,Metals Price Index,
May 2013,88.32,-2.66%,Metals Price Index,
Jun 2013,85.41,-3.29%,Metals Price Index,
Jul 2013,85.67,0.30%,Metals Price Index,
Aug 2013,89.64,4.63%,Metals Price Index,
Sep 2013,88.15,-1.66%,Metals Price Index,
Oct 2013,89.07,1.04%,Metals Price Index,
Nov 2013,87.82,-1.41%,Metals Price Index,
Dec 2013,88.71,1.02%,Metals Price Index,
Jan 2014,88.08,-0.72%,Metals Price Index,
Feb 2014,86.16,-2.17%,Metals Price Index,
Mar 2014,82.98,-3.70%,Metals Price Index,
Apr 2014,85.48,3.01%,Metals Price Index,
May 2014,84.85,-0.74%,Metals Price Index,
Jun 2014,84.36,-0.58%,Metals Price Index,
Jul 2014,88.18,4.53%,Metals Price Index,
Aug 2014,88.03,-0.17%,Metals Price Index,
Sep 2014,85.07,-3.37%,Metals Price Index,
Oct 2014,82.62,-2.89%,Metals Price Index,
Nov 2014,82.86,0.29%,Metals Price Index,
Dec 2014,78.83,-4.86%,Metals Price Index,
Jan 2015,73.85,-6.31%,Metals Price Index,
Feb 2015,72.37,-2.01%,Metals Price Index,
Mar 2015,71.78,-0.82%,Metals Price Index,
Apr 2015,72.14,0.50%,Metals Price Index,
May 2015,74.64,3.47%,Metals Price Index,
Jun 2015,70.31,-5.79%,Metals Price Index,
Jul 2015,65.75,-6.49%,Metals Price Index,
Aug 2015,62.65,-4.71%,Metals Price Index,
Sep 2015,63.4,1.20%,Metals Price Index,
Oct 2015,62.22,-1.87%,Metals Price Index,
Nov 2015,57.83,-7.05%,Metals Price Index,
Dec 2015,56.31,-2.63%,Metals Price Index,
Jan 2016,55.21,-1.95%,Metals Price Index,
Feb 2016,57.68,4.47%,Metals Price Index,
Mar 2016,61.19,6.09%,Metals Price Index,
Apr 2016,62.0,1.32%,Metals Price Index,
May 2016,59.98,-3.26%,Metals Price Index,
Jun 2016,60.26,0.46%,Metals Price Index,
Jul 2016,63.49,5.37%,Metals Price Index,
Aug 2016,63.78,0.45%,Metals Price Index,
Sep 2016,62.83,-1.49%,Metals Price Index,
Oct 2016,64.13,2.08%,Metals Price Index,
Nov 2016,71.53,11.53%,Metals Price Index,
Dec 2016,73.54,2.81%,Metals Price Index,
Jan 2017,74.54,1.37%,Metals Price Index,
Feb 2017,77.94,4.56%,Metals Price Index,
Mar 2017,77.34,-0.77%,Metals Price Index,
Apr 2017,74.04,-4.27%,Metals Price Index,
May 2017,72.24,-2.43%,Metals Price Index,
Jun 2017,71.71,-0.73%,Metals Price Index,
Jul 2017,75.39,5.13%,Metals Price Index,
Aug 2017,81.56,8.18%,Metals Price Index,
Sep 2017,82.68,1.38%,Metals Price Index,
Oct 2017,83.39,0.86%,Metals Price Index,
Nov 2017,83.46,0.08%,Metals Price Index,
Dec 2017,84.11,0.79%,Metals Price Index,
Jan 2018,88.57,5.30%,Metals Price Index,
Feb 2018,88.61,0.04%,Metals Price Index,
Mar 2018,84.47,-4.67%,Metals Price Index,
Apr 2018,86.45,2.34%,Metals Price Index,
May 2018,86.79,0.40%,Metals Price Index,
Jun 2018,86.98,0.22%,Metals Price Index,
Jul 2018,79.77,-8.28%,Metals Price Index,
Aug 2018,78.12,-2.07%,Metals Price Index,
Sep 2018,77.44,-0.86%,Metals Price Index,
Oct 2018,79.35,2.47%,Metals Price Index,
Nov 2018,77.5,-2.34%,Metals Price Index,
Dec 2018,76.07,-1.84%,Metals Price Index,
Jan 2019,75.77,-0.39%,Metals Price Index,
Feb 2019,80.12,5.73%,Metals Price Index,
Mar 2019,81.1,1.22%,Metals Price Index,
Apr 2019,81.6,0.62%,Metals Price Index,
May 2019,78.65,-3.62%,Metals Price Index,
Jun 2019,78.53,-0.16%,Metals Price Index,
Jul 2019,81.03,3.19%,Metals Price Index,
Aug 2019,76.05,-6.15%,Metals Price Index,
Sep 2019,77.32,1.68%,Metals Price Index,
Oct 2019,76.46,-1.12%,Metals Price Index,
Nov 2019,76.22,-0.32%,Metals Price Index,
Dec 2019,77.47,1.65%,Metals Price Index,
Jan 2020,77.7,0.30%,Metals Price Index,
Feb 2020,73.02,-6.03%,Metals Price Index,
Mar 2020,68.71,-5.90%,Metals Price Index,
Apr 2020,65.55,-4.59%,Metals Price Index,
May 2020,68.01,3.74%,Metals Price Index,
Jun 2020,73.68,8.34%,Metals Price Index,
Jul 2020,79.09,7.34%,Metals Price Index,
Aug 2020,83.48,5.55%,Metals Price Index,
Sep 2020,85.12,1.96%,Metals Price Index,
Oct 2020,85.49,0.44%,Metals Price Index,
Nov 2020,90.28,5.60%,Metals Price Index,
Dec 2020,99.65,10.38%,Metals Price Index,
Jan 2021,102.84,3.20%,Metals Price Index,
Feb 2021,106.39,3.45%,Metals Price Index,
Mar 2021,110.22,3.60%,Metals Price Index,
Apr 2021,115.32,4.63%,Metals Price Index,
May 2021,125.79,9.08%,Metals Price Index,
Jun 2021,124.27,-1.21%,Metals Price Index,
Jul 2021,124.52,0.20%,Metals Price Index,
Aug 2021,119.04,-4.40%,Metals Price Index,
Sep 2021,116.81,-1.87%,Metals Price Index,
Oct 2021,121.38,3.91%,Metals Price Index,
Nov 2021,114.02,-6.07%,Metals Price Index,
Dec 2021,116.72,2.37%,Metals Price Index,
Jan 2022,125.23,7.30%,Metals Price Index,
Feb 2022,131.18,4.75%,Metals Price Index,
Mar 2022,141.28,7.70%,Metals Price Index,
Apr 2022,138.09,-2.26%,Metals Price Index,
May 2022,122.46,-11.32%,Metals Price Index,
Jun 2022,115.7,-5.51%,Metals Price Index,
Jul 2022,100.15,-13.44%,Metals Price Index,
Aug 2022,103.81,3.65%,Metals Price Index,
Sep 2022,97.77,-5.82%,Metals Price Index,
Oct 2022,96.09,-1.72%,Metals Price Index,
Nov 2022,100.92,5.03%,Metals Price Index,
Dec 2022,107.6,6.63%,Metals Price Index,
Jan 2023,114.01,5.96%,Metals Price Index,
Feb 2023,112.04,-1.73%,Metals Price Index,
Mar 2023,108.4,-3.25%,Metals Price Index,
Apr 2023,107.38,-0.94%,Metals Price Index,
Apr 1993,81.0,-,Urea,
May 1993,81.0,0.00%,Urea,
Jun 1993,81.0,0.00%,Urea,
Jul 1993,81.0,0.00%,Urea,
Aug 1993,81.0,0.00%,Urea,
Sep 1993,81.0,0.00%,Urea,
Oct 1993,81.0,0.00%,Urea,
Nov 1993,82.8,2.22%,Urea,
Dec 1993,85.5,3.26%,Urea,
Jan 1994,85.5,0.00%,Urea,
Feb 1994,85.5,0.00%,Urea,
Mar 1994,98.63,15.36%,Urea,
Apr 1994,103.5,4.94%,Urea,
May 1994,103.5,0.00%,Urea,
Jun 1994,103.5,0.00%,Urea,
Jul 1994,106.5,2.90%,Urea,
Aug 1994,88.0,-17.37%,Urea,
Sep 1994,88.0,0.00%,Urea,
Oct 1994,88.0,0.00%,Urea,
Nov 1994,88.0,0.00%,Urea,
Dec 1994,88.0,0.00%,Urea,
Jan 1995,159.6,81.36%,Urea,
Feb 1995,177.5,11.22%,Urea,
Mar 1995,191.25,7.75%,Urea,
Apr 1995,205.0,7.19%,Urea,
May 1995,159.0,-22.44%,Urea,
Jun 1995,90.0,-43.40%,Urea,
Jul 1995,90.0,0.00%,Urea,
Aug 1995,90.0,0.00%,Urea,
Sep 1995,90.0,0.00%,Urea,
Oct 1995,90.0,0.00%,Urea,
Nov 1995,90.0,0.00%,Urea,
Dec 1995,90.0,0.00%,Urea,
Jan 1996,90.0,0.00%,Urea,
Feb 1996,90.0,0.00%,Urea,
Mar 1996,90.0,0.00%,Urea,
Apr 1996,160.4,78.22%,Urea,
May 1996,169.5,5.67%,Urea,
Jun 1996,172.13,1.55%,Urea,
Jul 1996,184.5,7.19%,Urea,
Aug 1996,187.0,1.36%,Urea,
Sep 1996,181.4,-2.99%,Urea,
Oct 1996,172.25,-5.04%,Urea,
Nov 1996,172.63,0.22%,Urea,
Dec 1996,174.5,1.08%,Urea,
Jan 1997,173.5,-0.57%,Urea,
Feb 1997,160.38,-7.56%,Urea,
Mar 1997,148.0,-7.72%,Urea,
Apr 1997,135.0,-8.78%,Urea,
May 1997,113.13,-16.20%,Urea,
Jun 1997,108.5,-4.09%,Urea,
Jul 1997,112.5,3.69%,Urea,
Aug 1997,102.5,-8.89%,Urea,
Sep 1997,88.3,-13.85%,Urea,
Oct 1997,87.5,-0.91%,Urea,
Nov 1997,90.63,3.58%,Urea,
Dec 1997,90.0,-0.70%,Urea,
Jan 1998,86.25,-4.17%,Urea,
Feb 1998,77.5,-10.14%,Urea,
Mar 1998,84.5,9.03%,Urea,
Apr 1998,100.0,18.34%,Urea,
May 1998,95.0,-5.00%,Urea,
Jun 1998,88.4,-6.95%,Urea,
Jul 1998,86.0,-2.71%,Urea,
Aug 1998,85.5,-0.58%,Urea,
Sep 1998,83.63,-2.19%,Urea,
Oct 1998,75.63,-9.57%,Urea,
Nov 1998,70.7,-6.52%,Urea,
Dec 1998,65.5,-7.36%,Urea,
Jan 1999,64.5,-1.53%,Urea,
Feb 1999,64.0,-0.78%,Urea,
Mar 1999,75.5,17.97%,Urea,
Apr 1999,64.5,-14.57%,Urea,
May 1999,64.9,0.62%,Urea,
Jun 1999,63.75,-1.77%,Urea,
Jul 1999,62.75,-1.57%,Urea,
Aug 1999,65.7,4.70%,Urea,
Sep 1999,67.5,2.74%,Urea,
Oct 1999,65.38,-3.14%,Urea,
Nov 1999,66.0,0.95%,Urea,
Dec 1999,66.83,1.26%,Urea,
Jan 2000,77.4,15.82%,Urea,
Feb 2000,90.13,16.45%,Urea,
Mar 2000,88.75,-1.53%,Urea,
Apr 2000,83.25,-6.20%,Urea,
May 2000,91.0,9.31%,Urea,
Jun 2000,105.13,15.53%,Urea,
Jul 2000,121.7,15.76%,Urea,
Aug 2000,133.38,9.60%,Urea,
Sep 2000,113.88,-14.62%,Urea,
Oct 2000,111.1,-2.44%,Urea,
Nov 2000,99.38,-10.55%,Urea,
Dec 2000,96.0,-3.40%,Urea,
Jan 2001,121.0,26.04%,Urea,
Feb 2001,105.25,-13.02%,Urea,
Mar 2001,98.88,-6.05%,Urea,
Apr 2001,95.3,-3.62%,Urea,
May 2001,85.0,-10.81%,Urea,
Jun 2001,87.5,2.94%,Urea,
Jul 2001,87.5,0.00%,Urea,
Aug 2001,88.75,1.43%,Urea,
Sep 2001,94.5,6.48%,Urea,
Oct 2001,96.1,1.69%,Urea,
Nov 2001,96.5,0.42%,Urea,
Dec 2001,101.17,4.84%,Urea,
Jan 2002,104.13,2.93%,Urea,
Feb 2002,99.63,-4.32%,Urea,
Mar 2002,90.25,-9.41%,Urea,
Apr 2002,84.7,-6.15%,Urea,
May 2002,85.5,0.94%,Urea,
Jun 2002,92.75,8.48%,Urea,
Jul 2002,94.2,1.56%,Urea,
Aug 2002,105.0,11.46%,Urea,
Sep 2002,93.0,-11.43%,Urea,
Oct 2002,92.25,-0.81%,Urea,
Nov 2002,92.25,0.00%,Urea,
Dec 2002,99.38,7.73%,Urea,
Jan 2003,112.0,12.70%,Urea,
Feb 2003,132.13,17.97%,Urea,
Mar 2003,138.9,5.12%,Urea,
Apr 2003,118.63,-14.59%,Urea,
May 2003,128.13,8.01%,Urea,
Jun 2003,133.9,4.50%,Urea,
Jul 2003,142.75,6.61%,Urea,
Aug 2003,141.5,-0.88%,Urea,
Sep 2003,146.8,3.75%,Urea,
Oct 2003,150.63,2.61%,Urea,
Nov 2003,153.5,1.91%,Urea,
Dec 2003,159.38,3.83%,Urea,
Jan 2004,160.25,0.55%,Urea,
Feb 2004,134.5,-16.07%,Urea,
Mar 2004,130.5,-2.97%,Urea,
Apr 2004,128.38,-1.62%,Urea,
May 2004,135.9,5.86%,Urea,
Jun 2004,158.25,16.45%,Urea,
Jul 2004,185.0,16.90%,Urea,
Aug 2004,196.2,6.05%,Urea,
Sep 2004,218.13,11.18%,Urea,
Oct 2004,242.13,11.00%,Urea,
Nov 2004,224.5,-7.28%,Urea,
Dec 2004,185.25,-17.48%,Urea,
Jan 2005,184.6,-0.35%,Urea,
Feb 2005,185.75,0.62%,Urea,
Mar 2005,217.13,16.89%,Urea,
Apr 2005,242.13,11.51%,Urea,
May 2005,256.0,5.73%,Urea,
Jun 2005,217.5,-15.04%,Urea,
Jul 2005,221.88,2.01%,Urea,
Aug 2005,208.5,-6.03%,Urea,
Sep 2005,210.38,0.90%,Urea,
Oct 2005,215.5,2.43%,Urea,
Nov 2005,235.0,9.05%,Urea,
Dec 2005,213.88,-8.99%,Urea,
Jan 2006,202.3,-5.41%,Urea,
Feb 2006,213.88,5.72%,Urea,
Mar 2006,243.13,13.68%,Urea,
Apr 2006,247.5,1.80%,Urea,
May 2006,229.5,-7.27%,Urea,
Jun 2006,210.0,-8.50%,Urea,
Jul 2006,205.5,-2.14%,Urea,
Aug 2006,210.5,2.43%,Urea,
Sep 2006,215.13,2.20%,Urea,
Oct 2006,209.2,-2.76%,Urea,
Nov 2006,227.38,8.69%,Urea,
Dec 2006,251.67,10.68%,Urea,
Jan 2007,265.0,5.30%,Urea,
Feb 2007,299.38,12.97%,Urea,
Mar 2007,318.13,6.26%,Urea,
Apr 2007,291.0,-8.53%,Urea,
May 2007,293.13,0.73%,Urea,
Jun 2007,291.88,-0.43%,Urea,
Jul 2007,269.5,-7.67%,Urea,
Aug 2007,260.63,-3.29%,Urea,
Sep 2007,305.0,17.02%,Urea,
Oct 2007,323.75,6.15%,Urea,
Nov 2007,366.25,13.13%,Urea,
Dec 2007,401.67,9.67%,Urea,
Jan 2008,376.63,-6.23%,Urea,
Feb 2008,328.13,-12.88%,Urea,
Mar 2008,371.0,13.06%,Urea,
Apr 2008,462.5,24.66%,Urea,
May 2008,633.75,37.03%,Urea,
Jun 2008,642.0,1.30%,Urea,
Jul 2008,733.75,14.29%,Urea,
Aug 2008,785.0,6.98%,Urea,
Sep 2008,744.5,-5.16%,Urea,
Oct 2008,575.0,-22.77%,Urea,
Nov 2008,287.5,-50.00%,Urea,
Dec 2008,240.0,-16.52%,Urea,
Jan 2009,273.75,14.06%,Urea,
Feb 2009,281.25,2.74%,Urea,
Mar 2009,268.5,-4.53%,Urea,
Apr 2009,245.63,-8.52%,Urea,
May 2009,236.25,-3.82%,Urea,
Jun 2009,239.7,1.46%,Urea,
Jul 2009,243.75,1.69%,Urea,
Aug 2009,251.5,3.18%,Urea,
Sep 2009,232.25,-7.65%,Urea,
Oct 2009,234.88,1.13%,Urea,
Nov 2009,243.5,3.67%,Urea,
Dec 2009,262.0,7.60%,Urea,
Jan 2010,266.5,1.72%,Urea,
Feb 2010,297.5,11.63%,Urea,
Mar 2010,278.7,-6.32%,Urea,
Apr 2010,253.75,-8.95%,Urea,
May 2010,234.0,-7.78%,Urea,
Jun 2010,226.25,-3.31%,Urea,
Jul 2010,259.38,14.64%,Urea,
Aug 2010,263.5,1.59%,Urea,
Sep 2010,308.75,17.17%,Urea,
Oct 2010,332.5,7.69%,Urea,
Nov 2010,365.4,9.89%,Urea,
Dec 2010,380.63,4.17%,Urea,
Jan 2011,378.5,-0.56%,Urea,
Feb 2011,297.5,-21.40%,Urea,
Mar 2011,278.7,-6.32%,Urea,
Apr 2011,253.75,-8.95%,Urea,
May 2011,234.0,-7.78%,Urea,
Jun 2011,478.75,104.59%,Urea,
Jul 2011,483.75,1.04%,Urea,
Aug 2011,475.5,-1.71%,Urea,
Sep 2011,508.75,6.99%,Urea,
Oct 2011,493.5,-3.00%,Urea,
Nov 2011,481.25,-2.48%,Urea,
Dec 2011,423.13,-12.08%,Urea,
Jan 2012,368.0,-13.03%,Urea,
Feb 2012,375.0,1.90%,Urea,
Mar 2012,393.13,4.83%,Urea,
Apr 2012,494.38,25.75%,Urea,
May 2012,513.13,3.79%,Urea,
Jun 2012,456.88,-10.96%,Urea,
Jul 2012,307.5,-32.70%,Urea,
Aug 2012,382.5,24.39%,Urea,
Sep 2012,384.38,0.49%,Urea,
Oct 2012,349.0,-9.20%,Urea,
Nov 2012,383.5,9.89%,Urea,
Dec 2012,375.83,-2.00%,Urea,
Jan 2013,380.0,1.11%,Urea,
Feb 2013,415.63,9.38%,Urea,
Mar 2013,395.63,-4.81%,Urea,
Apr 2013,365.63,-7.58%,Urea,
May 2013,358.13,-2.05%,Urea,
Jun 2013,329.38,-8.03%,Urea,
Jul 2013,312.5,-5.12%,Urea,
Aug 2013,310.63,-0.60%,Urea,
Sep 2013,301.0,-3.10%,Urea,
Oct 2013,296.88,-1.37%,Urea,
Nov 2013,305.0,2.74%,Urea,
Dec 2013,305.0,0.00%,Urea,
Jan 2014,330.0,8.20%,Urea,
Feb 2014,353.13,7.01%,Urea,
Mar 2014,327.5,-7.26%,Urea,
Apr 2014,260.0,-20.61%,Urea,
May 2014,265.0,1.92%,Urea,
Jun 2014,288.75,8.96%,Urea,
Jul 2014,305.0,5.63%,Urea,
Aug 2014,311.25,2.05%,Urea,
Sep 2014,317.5,2.01%,Urea,
Oct 2014,317.5,0.00%,Urea,
Nov 2014,317.5,0.00%,Urea,
Dec 2014,308.13,-2.95%,Urea,
Jan 2015,305.0,-1.02%,Urea,
Feb 2015,305.0,0.00%,Urea,
Mar 2015,295.5,-3.11%,Urea,
Apr 2015,260.0,-12.01%,Urea,
May 2015,265.0,1.92%,Urea,
Jun 2015,288.75,8.96%,Urea,
Jul 2015,283.75,-1.73%,Urea,
Aug 2015,274.63,-3.21%,Urea,
Sep 2015,279.38,1.73%,Urea,
Oct 2015,250.63,-10.29%,Urea,
Nov 2015,263.63,5.19%,Urea,
Dec 2015,264.0,0.14%,Urea,
Jan 2016,233.88,-11.41%,Urea,
Feb 2016,191.88,-17.96%,Urea,
Mar 2016,201.75,5.14%,Urea,
Apr 2016,196.25,-2.73%,Urea,
May 2016,198.38,1.09%,Urea,
Jun 2016,142.63,-28.10%,Urea,
Jul 2016,181.0,26.90%,Urea,
Aug 2016,186.25,2.90%,Urea,
Sep 2016,187.3,0.56%,Urea,
Oct 2016,187.5,0.11%,Urea,
